date,other_united_states,other_new_england,other_connecticut,other_maine,other_massachusetts,other_new_hampshire,other_rhode_island,other_vermont,other_middle_atlantic,other_new_jersey,other_new_york,other_pennsylvania,other_east_north_central,other_illinois,other_indiana,other_michigan,other_ohio,other_wisconsin,other_west_north_central,other_iowa,other_kansas,other_minnesota,other_missouri,other_nebraska,other_north_dakota,other_south_dakota,other_south_atlantic,other_delaware,other_district_of_columbia,other_florida,other_georgia,other_maryland,other_north_carolina,other_south_carolina,other_virginia,other_west_virginia,other_east_south_central,other_alabama,other_kentucky,other_mississippi,other_tennessee,other_west_south_central,other_arkansas,other_louisiana,other_oklahoma,other_texas,other_mountain,other_arizona,other_colorado,other_idaho,other_montana,other_nevada,other_new_mexico,other_utah,other_wyoming,other_pacific_contiguous,other_california,other_oregon,other_washington,other_pacific_noncontiguous,other_alaska,other_hawaii,wind,wind_united_states,wind_new_england,wind_connecticut,wind_maine,wind_massachusetts,wind_new_hampshire,wind_rhode_island,wind_vermont,wind_middle_atlantic,wind_new_jersey,wind_new_york,wind_pennsylvania,wind_east_north_central,wind_illinois,wind_indiana,wind_michigan,wind_ohio,wind_wisconsin,wind_west_north_central,wind_iowa,wind_kansas,wind_minnesota,wind_missouri,wind_nebraska,wind_north_dakota,wind_south_dakota,wind_south_atlantic,wind_delaware,wind_district_of_columbia,wind_florida,wind_georgia,wind_maryland,wind_north_carolina,wind_south_carolina,wind_virginia,wind_west_virginia,wind_east_south_central,wind_alabama,wind_kentucky,wind_mississippi,wind_tennessee,wind_west_south_central,wind_arkansas,wind_louisiana,wind_oklahoma,wind_texas,wind_mountain,wind_arizona,wind_colorado,wind_idaho,wind_montana,wind_nevada,wind_new_mexico,wind_utah,wind_wyoming,wind_pacific_contiguous,wind_california,wind_oregon,wind_washington,wind_pacific_noncontiguous,wind_alaska,wind_hawaii
Nov-01,5713,604,70,299,114,82,8,30,377,72,145,160,402,55,11,207,36,94,254,60,--,192,1,2,1,0,946,--,--,306,243,30,150,65,151,0,538,333,1,132,72,551,142,216,21,172,237,4,10,37,5,103,2,15,62,1764,1611,72,82,39,0,39,,470,1,--,--,--,--,--,1,2,--,2,1,11,--,--,--,--,11,149,51,--,97,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,89,--,--,--,89,67,--,5,--,--,--,--,--,62,150,143,7,--,0,0,0
Dec-01,6038,650,73,344,112,85,9,27,388,73,154,161,394,57,9,175,37,117,307,68,40,196,0,2,1,0,992,--,--,340,232,31,156,72,160,0,563,362,1,133,68,611,143,217,19,232,240,3,21,36,5,108,2,11,54,1854,1690,81,83,40,0,40,,616,1,--,--,--,--,--,1,3,--,2,1,10,--,--,0,--,10,192,59,40,92,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,143,--,--,--,143,70,--,16,--,--,--,--,--,54,197,172,25,--,0,0,0
Jan-02,6599,646,67,362,109,76,9,22,359,69,138,152,366,53,8,199,12,94,337,91,46,197,1,2,0,0,1157,--,--,344,348,41,171,110,143,0,599,394,31,108,65,797,172,244,15,366,232,6,19,35,6,103,1,20,42,2069,1812,92,165,36,1,35,,811,2,--,--,0,--,--,2,14,--,5,9,5,--,--,0,--,5,229,84,46,98,--,1,--,0,--,--,--,--,--,--,--,--,--,--,1,--,--,--,1,287,--,--,--,287,58,--,16,--,--,--,--,--,42,217,131,37,48,0,--,0
Feb-02,5800,574,59,309,93,76,8,29,344,67,125,152,282,45,8,137,10,82,347,110,47,187,1,2,0,1,1006,--,--,297,238,68,158,106,140,0,528,342,30,101,54,650,137,217,20,276,204,5,17,28,5,91,1,18,38,1829,1627,73,129,35,1,34,,714,0,--,--,0,--,--,0,10,--,5,5,6,--,--,0,--,6,255,103,47,103,--,1,--,1,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,195,--,--,--,195,53,--,15,--,--,--,--,--,38,195,153,21,21,0,--,0
Mar-02,6354,657,73,346,110,83,8,37,378,68,140,169,379,62,9,205,13,90,284,87,47,148,1,2,0,0,1012,--,--,335,258,40,150,77,153,0,500,310,35,81,73,698,128,214,20,336,218,6,14,41,5,97,1,19,35,2195,1934,101,159,34,1,33,,852,1,--,--,0,--,--,1,12,--,5,7,5,--,--,0,--,5,186,80,47,58,--,0,--,0,--,--,--,--,--,--,--,--,--,--,1,--,--,--,1,238,--,--,--,238,46,--,11,--,--,--,--,--,35,362,267,44,51,0,--,0
Apr-02,6543,575,67,300,100,85,8,16,364,62,141,162,355,60,10,188,13,84,326,105,47,171,1,2,0,1,1420,--,--,261,688,40,169,85,176,0,461,304,32,72,52,692,142,211,15,325,215,4,15,42,5,91,1,16,40,2116,1895,83,138,19,1,18,,1024,1,--,--,0,--,--,1,11,--,5,6,5,--,--,0,--,5,240,97,47,95,--,1,--,1,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,237,--,--,--,237,53,--,13,--,--,--,--,--,40,478,409,33,35,0,--,0
May-02,6760,621,71,335,110,68,8,28,419,72,134,213,334,62,8,174,12,77,297,94,46,154,1,2,0,1,1380,--,--,339,597,40,140,118,146,0,457,301,22,72,63,727,106,238,11,372,210,4,14,38,5,93,2,19,34,2280,2077,75,128,35,1,34,,1078,1,--,--,0,--,--,1,10,--,5,5,4,--,--,0,--,4,217,87,46,83,--,1,--,1,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,264,--,--,--,264,45,--,11,--,--,--,--,--,34,536,478,30,28,0,--,0
Jun-02,7066,611,70,339,106,67,8,22,408,73,161,175,328,67,10,173,12,67,266,83,43,137,1,2,0,0,1527,--,--,361,698,44,136,114,173,1,486,320,35,71,60,763,113,240,22,388,196,4,12,46,6,80,1,17,30,2442,2234,77,131,38,1,38,,1126,0,--,--,0,--,--,0,9,--,6,3,2,--,--,0,--,2,196,75,43,77,--,1,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,258,--,--,--,258,40,--,10,--,--,--,--,--,30,621,557,31,33,0,--,0
Jul-02,7056,646,73,358,109,68,8,30,428,76,168,184,382,77,12,198,17,77,187,55,30,99,1,2,0,0,1430,--,--,350,577,49,135,122,197,0,542,357,37,84,64,732,128,252,25,327,241,4,10,56,5,118,1,18,30,2427,2205,95,128,41,1,41,,890,1,--,--,0,--,--,1,9,--,6,3,2,--,--,0,--,2,111,45,30,34,--,1,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,218,--,--,--,218,38,--,8,--,--,--,--,--,30,512,443,34,36,0,--,0
Aug-02,7044,644,71,348,109,68,8,39,418,75,162,180,386,79,12,202,12,81,222,56,33,129,1,2,0,0,1408,--,--,291,630,44,137,117,187,1,527,338,32,91,66,779,121,246,21,391,201,4,12,43,6,88,1,14,34,2420,2190,97,134,39,1,38,,977,0,--,--,0,--,--,0,8,--,6,2,2,--,--,0,--,2,140,47,33,58,--,1,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,248,--,--,--,248,44,--,10,--,--,--,--,--,34,534,476,26,31,0,--,0
Sep-02,6582,633,66,349,111,61,8,38,396,71,156,169,377,69,11,197,14,85,233,61,34,135,1,1,0,0,1330,--,--,303,554,44,141,112,175,1,479,309,31,67,72,698,133,252,21,293,206,4,12,45,4,86,1,21,34,2194,1955,92,147,38,1,36,,736,1,--,--,0,--,--,1,8,--,5,3,3,--,--,0,--,3,163,53,34,74,--,1,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,164,--,--,--,164,44,--,10,--,--,--,--,--,34,354,295,25,34,0,--,0
Oct-02,6559,604,66,328,110,55,8,37,383,72,155,157,356,50,7,194,13,91,244,80,30,131,1,1,0,0,1393,--,--,295,645,37,142,95,177,1,435,240,33,75,87,714,142,242,24,307,223,4,12,48,6,91,1,21,39,2183,1942,94,147,24,1,23,,734,1,--,--,0,--,--,1,9,--,5,4,3,--,--,0,--,3,165,73,30,61,--,1,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,173,--,--,--,173,48,--,10,--,--,--,--,--,39,333,284,23,26,0,--,0
Nov-02,6250,596,68,318,102,71,9,29,391,69,150,173,341,49,9,186,10,86,269,90,32,143,1,2,0,1,1328,--,--,270,568,34,156,98,200,2,399,240,33,54,72,682,136,242,21,282,223,5,15,40,6,90,3,20,45,2002,1759,89,155,18,1,17,,656,1,--,--,0,--,--,1,12,--,5,7,4,--,--,0,--,4,190,81,32,76,--,1,--,1,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,170,--,--,--,170,57,--,12,--,--,--,--,--,45,222,158,30,33,0,--,0
Dec-02,6497,661,71,351,104,87,9,39,427,74,178,176,342,51,11,166,12,102,294,104,31,156,1,2,0,0,1370,--,--,293,581,42,149,91,205,9,436,290,14,59,72,678,129,214,24,312,242,4,17,44,6,98,5,21,46,2022,1777,81,165,25,1,24,,755,1,--,--,0,--,--,1,29,--,24,5,5,--,--,0,--,5,215,95,31,88,--,1,--,0,9,--,--,--,--,--,--,--,--,9,0,--,--,--,0,204,--,--,--,204,61,--,15,--,--,--,--,--,46,231,149,40,42,0,--,0
Jan-03,6500,598,62,313,101,69,9,44,389,79,144,166,463,78,12,224,38,111,313,97,29,176,1,9,1,0,1224,--,--,394,278,45,151,118,222,16,516,322,34,92,68,699,168,239,24,269,232,2,19,44,6,98,0,18,45,2043,1788,91,164,22,1,21,,632,1,--,--,--,--,--,1,11,--,3,7,7,2,--,0,--,5,200,87,29,79,--,4,1,0,16,--,--,--,--,--,--,--,--,16,0,--,--,--,0,171,--,--,--,171,62,--,17,--,--,--,--,--,45,165,109,28,28,0,--,0
Feb-03,5962,534,60,279,88,63,8,36,341,69,126,147,424,69,11,203,34,107,306,101,23,173,1,8,1,0,1090,--,--,323,243,37,187,107,177,15,436,285,20,74,58,664,147,210,17,291,201,2,13,42,6,89,0,16,33,1942,1704,90,147,23,0,23,,745,1,--,--,--,--,--,1,10,--,3,7,10,1,--,0,--,9,210,91,23,92,--,3,0,0,15,--,--,--,--,--,--,--,--,15,0,--,--,--,0,190,--,--,--,190,44,--,11,--,--,--,--,--,33,264,193,36,35,0,--,0
Mar-03,6719,578,67,296,102,69,9,35,375,74,134,167,446,69,11,218,35,113,361,115,40,198,1,7,1,1,1177,--,--,382,255,49,171,106,197,17,470,310,1,84,75,726,152,228,26,320,237,3,20,45,6,97,0,18,48,2312,1983,132,197,36,1,35,,1036,1,--,--,--,--,--,1,10,--,4,6,12,1,--,0,--,10,252,105,40,103,--,3,0,1,17,--,--,--,--,--,--,--,--,17,0,--,--,--,0,215,--,--,--,215,65,--,17,--,--,--,--,--,48,464,326,67,71,0,--,0
Apr-03,6674,511,67,258,107,51,8,21,370,72,136,162,410,64,8,202,36,100,336,107,40,181,1,7,1,1,1246,--,--,415,290,56,175,102,192,18,450,305,10,68,67,816,156,243,23,394,207,5,16,44,6,96,0,17,23,2280,1994,73,213,47,0,47,,1093,1,--,--,--,--,--,1,10,--,3,7,12,1,--,0,--,10,229,99,40,86,--,3,1,1,17,--,--,--,--,--,--,--,--,17,0,--,--,--,0,260,--,--,--,260,37,--,13,--,--,--,--,--,23,527,424,27,76,0,--,0
May-03,6473,567,67,295,107,55,9,35,398,76,149,173,394,67,8,184,37,98,301,87,31,175,1,7,1,1,1158,--,--,369,269,52,159,119,176,14,444,271,22,80,71,740,131,261,24,325,195,5,14,42,6,86,0,18,24,2222,1971,83,168,52,0,52,,1006,1,--,--,--,--,--,1,8,--,3,6,10,1,--,0,--,8,190,78,31,78,--,3,1,1,14,--,--,--,--,--,--,--,--,14,0,--,--,--,0,209,--,--,--,209,36,--,11,--,--,--,--,--,24,538,453,43,42,0,--,0
Jun-03,6678,564,64,286,104,68,8,33,375,77,138,159,382,62,8,195,29,88,238,59,23,146,1,7,0,0,1125,--,--,370,261,47,140,107,189,10,474,291,30,87,67,783,144,268,23,348,191,5,12,48,6,84,0,17,19,2496,2239,70,187,51,0,50,,1047,1,--,--,--,--,--,1,6,--,3,3,7,1,--,0,--,5,131,50,23,54,--,3,0,0,10,--,--,--,--,--,--,--,--,10,0,--,--,--,0,213,--,--,--,213,28,--,9,--,--,--,--,--,19,651,549,28,74,0,--,0
Jul-03,7009,615,70,317,100,75,9,43,419,83,158,177,440,66,9,225,36,104,261,60,31,160,1,9,0,0,1257,--,--,402,285,57,174,115,212,11,526,325,30,97,73,813,164,271,19,359,184,4,11,51,6,84,0,17,12,2441,2167,77,197,53,0,53,,953,1,--,--,--,--,--,1,7,--,3,4,8,2,--,0,--,6,149,50,31,64,--,4,0,0,11,--,--,--,--,--,--,--,--,11,0,--,--,--,0,240,--,--,--,240,20,--,8,--,--,--,--,--,12,519,432,26,61,0,--,0
Aug-03,6790,648,65,359,105,74,9,37,408,80,152,176,454,74,10,227,41,103,231,44,27,149,1,9,1,0,1150,--,--,382,243,56,158,118,189,5,512,321,30,88,73,765,156,273,23,312,188,4,11,49,6,87,0,17,14,2383,2121,76,186,51,0,51,,815,1,--,--,--,--,--,1,5,--,3,2,6,2,--,0,--,4,112,33,27,47,--,4,1,0,4,--,--,--,--,--,--,--,--,4,0,--,--,--,0,193,--,--,--,193,22,--,9,--,--,--,--,--,14,472,396,22,55,0,--,0
Sep-03,6537,604,66,328,101,71,8,29,405,73,140,191,412,70,9,198,39,95,292,77,30,176,1,8,1,0,1074,--,--,358,238,50,159,106,150,12,487,310,28,83,67,759,149,266,21,324,216,4,12,28,4,87,43,16,22,2239,1999,89,151,50,0,49,,895,1,--,--,--,--,--,1,7,--,3,4,10,1,--,0,--,8,185,67,30,84,--,3,1,0,12,--,--,--,--,--,--,--,--,12,0,--,--,--,0,196,--,--,--,196,75,--,10,--,--,--,43,--,22,409,340,36,33,0,--,0
Oct-03,6548,555,66,272,109,71,9,29,397,68,151,178,425,65,10,212,40,97,344,108,26,178,1,8,13,10,1092,--,--,337,251,48,171,95,174,16,503,300,32,98,72,731,156,270,19,286,224,5,15,43,6,68,38,14,35,2228,1949,104,175,49,0,49,,897,1,--,--,--,--,--,1,12,--,4,8,10,1,--,0,--,8,233,99,26,82,--,3,13,10,16,--,--,--,--,--,--,--,--,16,0,--,--,--,0,168,--,--,--,168,85,--,12,--,--,--,38,--,35,372,285,45,42,0,--,0
